VIVA - RAUNA SZIL,,,,,,,,-
MOSOGATÓTÁLCA,BLANCO,DALAGO 45,DEBL00021,,,ANTRACIT,,LILI - MF ANTRACIT
CSAPTELEP,BLANCO,LINUS,DEBL00080,,,ANTRACIT,,LILI - MF ANTRACIT
SZAPPANADAGOLÓ,,,,,,,,LILI - MF ANTRACIT
VÍZTISZTÍTÓ,,,,,,,,LILI - MF ANTRACIT
HULLADÉKTÁROLÓ,BLANCO,BOTTON II 30/2,DEBL00209,,,NEM LÁTSZÓ,,LILI - MF ANTRACIT
HULLADÉKTÁROLÓ,,,,,,,,LILI - MF ANTRACIT
KONYHAMALAC,,,,,,,,LILI - MF ANTRACIT
DIA - FINO PISZTÁCIA,,,,,,,,-
GÉP TÍPUSA,GYÁRTÓ,MODELL,CIKKSZÁM,LEÉRTÉKELT SZÁM,MÉRET,SZÍN,,-
SÜTŐ,GORENJE,BOP737E20XG,AG00126AKC,L13303,,FEKETE,,DIA - FINO PISZTÁCIA
MIKRÓHULLÁMÚ,,,,,,,,DIA - FINO PISZTÁCIA
FŐZŐLAP,GORENJE,ECT644BSC,AG00115AKC,L13941,,FEKETE,,DIA - FINO PISZTÁCIA
ELSZÍVÓ,EVIDO,MOVE 60B,DEEV00115,,60,NEM LÁTSZÓ,,DIA - FINO PISZTÁCIA
HŰTŐ,AEG,SKE818F1DC,AAE0059AKC,L12306,,NEM LÁTSZÓ,,DIA - FINO PISZTÁCIA
BORHŰTŐ,,,,,,,,DIA - FINO PISZTÁCIA
SOKKOLÓ HŰTŐ,,,,,,,,DIA - FINO PISZTÁCIA
KÁVÉFŐZŐ,,,,,,,,DIA - FINO PISZTÁCIA
MOSOGATÓGÉP,EVIDO,SPLASH 60I (DWS65I.1),DEEV00113,,60,NEM LÁTSZÓ,,DIA - FINO PISZTÁCIA
MOSÓGÉP,,,,,,,,DIA - FINO PISZTÁCIA
SZÁRÍTÓGÉP,,,,,,,,DIA - FINO PISZTÁCIA
MOSOGATÓTÁLCA,BLANCO,FLEX PRO 45S,DEBL00011,,,NATÚR (INOX),,DIA - FINO PISZTÁCIA
